dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
QUEEN BAKERY II,Manhattan,139,CENTRE STREET,10013,2129650788,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,46,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71721016,-74.00060243,101,1,3100,1002357,1001977502,MN24,,
BLEND,Queens,4704,VERNON BOULEVARD,11101,7187292800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,41,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74528782,-73.95325366,402,26,700,4000085,4000290046,QN31,,
LAN KWAI FONG CAFE,Queens,14238,ROOSEVELT AVE,11354,7188868287,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,49,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76067279,-73.82564502,407,20,85500,4113630,4050210021,QN22,,
GO GO CURRY,Manhattan,12,JOHN STREET,10038,2124065555,Japanese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70999655,-74.00910047,101,1,1502,1001103,1000650020,MN25,,
EIGHT JANE FOOD,Queens,3712,MAIN ST,11354,7185819077,Asian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76135882,-73.83103987,407,20,87100,4112292,4049740038,QN22,A,2020-01-02T00:00:00.000
WINGSTOP RESTAURANT,Brooklyn,935,BROADWAY,11206,3475649555,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,18,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69722665,-73.93566345,304,34,38900,3072000,3031600005,BK78,,
BOARDWALK BAGEL,Queens,108-01,ROCKAWAY BEACH DRIVE,11694,7186343200,Bagels/Pretzels,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.58140641,-73.82980126,414,32,93800,4303828,4161790009,QN10,,
MAR Y TIERRA RESTAURANT & LOUNGE,Bronx,3236,BAINBRIDGE AVENUE,10467,7186557764,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.87638922,-73.87964653,207,11,42300,2018154,2033430008,BX43,,
NEW CHEUNG CHOW,Queens,2011,NEW HAVEN AVENUE,11691,7184717795,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",N,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Initial Inspection,40.60073194,-73.75399575,414,31,99801,4300972,4157600023,QN15,,
D' MONTAZO RESTAURANT,Brooklyn,216,WYCKOFF AVENUE,11237,7184973978,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70131064,-73.91432686,304,37,44100,3075753,3033100039,BK77,A,2020-01-02T00:00:00.000
LA LECHONERA CRIOLLA,Bronx,1709,WEBSTER AVENUE,10457,7182940500,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84339796,-73.90336181,204,15,16500,2009337,2028890092,BX01,,
THE HOUSE OF BREWS,Manhattan,363,WEST   46 STREET,10036,2122450551,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76050285,-73.98960032,104,3,12700,1025043,1010370006,MN15,,
DUNKIN',Bronx,636,CITY ISLAND AVENUE,10464,7188853057,Donuts,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85558153,-73.79148716,210,13,51600,2098227,2056360019,BX10,A,2020-01-02T00:00:00.000
PHO BANG RESTAURANT,Manhattan,157,MOTT STREET,10013,2129663797,Vietnamese/Cambodian/Malaysia,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71943062,-73.99633837,102,1,4100,1006991,1004710051,MN24,A,2020-01-02T00:00:00.000
ITALIA PIZZA,Brooklyn,307,KINGS HIGHWAY,11223,7183390666,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.60504837,-73.97896835,311,44,42600,3176893,3066510078,BK29,A,2020-01-02T00:00:00.000
NEW SUN MARY BAKERY,Queens,133-57,41 ROAD,11355,7184608800,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.75705369,-73.830134,407,20,84900,4464147,4050410041,QN22,A,2020-01-02T00:00:00.000
PABLO'S RESTAURANT,Brooklyn,43,NEWKIRK PLAZA,11226,7184217603,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.63472908,-73.96273862,314,40,52000,3121197,3052360048,BK42,A,2020-01-02T00:00:00.000
MILK N' HONEY,Manhattan,160,BROADWAY,10038,2123624165,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70948593,-74.0102402,101,1,1502,1079040,1000640015,MN25,A,2020-01-02T00:00:00.000
CICCIO,Manhattan,190,6 AVENUE,10013,6464769498,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,33,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72640782,-74.00365119,102,3,3700,1077761,1005040011,MN24,,
MARGARITA SALOON,Manhattan,709,8 AVENUE,10036,2125822012,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75887785,-73.98860431,104,3,12100,1024992,1010350036,MN15,A,2020-01-02T00:00:00.000
CARIDAD,Bronx,1436,WILLIAMSBRIDGE ROAD,10461,7188928322,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84304845,-73.84488379,210,13,20000,2114965,2040750003,BX37,,
TINY SHANGHAI,Manhattan,122,MULBERRY STREET,10013,9172617898,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71783047,-73.99811692,102,1,4100,1002634,1002050012,MN24,A,2020-01-02T00:00:00.000
LAN KWAI FONG CAFE,Queens,14238,ROOSEVELT AVE,11354,7188868287,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,49,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76067279,-73.82564502,407,20,85500,4113630,4050210021,QN22,,
HOPE TO SEE YOU,Queens,133-42,39 AVENUE,11354,7188881669,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,13,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75909891,-73.83413912,407,20,87100,4596186,4049737501,QN22,A,2020-01-02T00:00:00.000
MCDONALDS # 18093,Manhattan,354,WEST  125 STREET,10027,2128642848,Hamburgers,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.81087632,-73.95288951,109,9,20901,1059300,1019510051,MN09,A,2020-01-02T00:00:00.000
LA TROPEZIENNE BAKERY,Manhattan,2131,1 AVENUE,10029,2128605324,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,25,2020-08-17T06:03:08.000,Pre-permit (Operational) / Second Compliance Inspection,40.79196636,-73.9383632,111,8,18000,1052841,1016810028,MN34,,
BASIL BRICK OVEN,Queens,2817,ASTORIA BLVD,11102,7182041205,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77064492,-73.92022681,401,22,6900,4017403,4008390009,QN71,,
DADAM,Queens,15224,NORTHERN BLVD,11354,7183212007,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76488941,-73.812147,407,20,115500,4119193,4052660009,QN51,,
BASIL BRICK OVEN,Queens,2817,ASTORIA BLVD,11102,7182041205,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77064492,-73.92022681,401,22,6900,4017403,4008390009,QN71,,
EDEN WOK,Manhattan,43,EAST   34 STREET,10016,2127258100,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,22,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74757965,-73.98251057,106,2,7400,1017114,1008647501,MN17,B,2020-01-02T00:00:00.000
CAMELLIA FAMILY,Queens,4215,COLLEGE POINT BLVD,11355,7188860123,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,31,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75450534,-73.83304972,407,20,84900,4115048,4051010001,QN22,,
BUNNY DELI,Manhattan,1522,ST NICHOLAS AVENUE,10033,2127813303,Delicatessen,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.85252514,-73.93137014,112,10,26900,1063788,1021570067,MN35,A,2020-01-02T00:00:00.000
AYURVEDIC PLATE,Brooklyn,1616,CORTELYOU ROAD,11226,7185766335,Indian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.64170376,-73.96331124,314,40,51400,3118752,3051590001,BK42,A,2020-01-02T00:00:00.000
NEW PEKING KITCHEN,Queens,77-15,37 AVENUE,11372,7184269789,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74928369,-73.88874109,403,25,28700,4029588,4012770036,QN28,A,2020-01-02T00:00:00.000
DADAM,Queens,15224,NORTHERN BLVD,11354,7183212007,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76488941,-73.812147,407,20,115500,4119193,4052660009,QN51,,
KENNEDY FRIED CHICKEN,Bronx,1,EAST BURNSIDE AVENUE,10453,7186693752,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.85376524,-73.90719287,205,14,24100,2013957,2031790001,BX41,A,2020-01-02T00:00:00.000
ITALIA PIZZA,Brooklyn,307,KINGS HIGHWAY,11223,7183390666,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.60504837,-73.97896835,311,44,42600,3176893,3066510078,BK29,A,2020-01-02T00:00:00.000
